cust_out_max,out_duration_max,area_cost_out_h,area_KW_h,wind_speed,impact_time,outage_slope,recovery_duration,recovery_slope,cust_normalized,gust,precipitation,ppocc,wind_direction,dew_point_temp,Air_temp,Pressure,RH,cummulative_customer_out
15993,12.0,0.054305443969422856,22.433816272864174,23.0,1.75,0.004227024770436517,10.25,0.0007216871559281859,0.007397293348263905,39.1,22.1,1.0,340.0,69.0,79.3,1007.9,100.0,98769
6632,2.0,0.004854748388881256,2.0055177795520556,17.25,1.0,0.003067520132913538,1.0,0.003067520132913538,0.003067520132913538,31.05,21.08,1.0,260.0,77.5,88.2,1009.2,100.0,24206
9076,3.0,0.008630985006061496,3.5654976320394667,11.5,0.5,0.008395902510953943,2.5,0.0016791805021907885,0.004197951255476971,41.4,8.64,1.0,340.0,72.5,77.0,1017.5,100.0,9076
22644,8.5,0.05249855805277225,21.687383802797473,33.35,1.25,0.008378881289468535,7.25,0.001444634705080782,0.01047360161183567,54.05,2.29,1.0,350.0,76.8,87.0,1013.4,96.42,60146
73829,35.5,0.4327365730083206,178.76536980129782,37.95,1.25,0.02731869045752396,34.25,0.0009970324984497794,0.03414836307190495,54.05,16.51,1.0,350.0,79.2,88.0,1013.3,100.0,436402
12488,0.75,0.002888057254208705,1.1930690754118742,10.35,0.5,0.01155222901683482,0.25,0.02310445803366964,0.00577611450841741,18.4,0.0,0.0,240.0,70.7,77.0,1013.5,92.82,12488
12488,0.75,0.002888057254208705,1.1930690754118742,12.65,0.5,0.01155222901683482,0.25,0.02310445803366964,0.00577611450841741,18.4,0.0,0.0,250.0,70.7,80.0,1013.7,82.83,12488
16341,4.75,0.018677552847886247,7.7157787210453055,21.85,2.75,0.002748456327006258,2.0,0.0037791274496336044,0.007558254899267209,28.75,14.73,1.0,360.0,75.2,87.6,1015.1,100.0,49884
8917,0.75,0.0020622042389316962,0.8519055849974121,10.35,0.5,0.008248816955726785,0.25,0.01649763391145357,0.0041244084778633925,16.1,0.0,0.0,190.0,74.0,89.0,1015.9,74.28,8917
8478,3.75,0.01078800854946353,4.456573486168755,21.85,1.25,0.003137085125071288,2.5,0.001568542562535644,0.00392135640633911,39.1,7.11,1.0,320.0,47.3,51.0,1010.5,100.0,37003
5841,1.0,0.0019806827637468332,0.8182287072681772,19.55,0.5,0.005403312755231597,0.5,0.005403312755231597,0.0027016563776157986,41.4,1.52,1.0,90.0,47.0,51.0,1007.2,100.0,5841
20640,10.5,0.055213859159567946,22.809086558595908,35.65,2.0,0.0047733425469945285,8.5,0.001123139422822242,0.009546685093989057,48.3,3.56,1.0,360.0,49.0,54.0,1017.8,100.0,104305
7813,3.0,0.007872430570298801,3.2521354789844574,35.65,0.75,0.004818362444401583,2.25,0.0016061208148005276,0.003613771833301187,51.75,0.001,1.0,280.0,38.3,43.7,998.5,92.41,19175
17712,10.75,0.05499404025981414,22.718278410279204,36.8,5.25,0.0015604548392832611,5.5,0.0014895250738612947,0.00819238790623712,55.2,0.25,1.0,250.0,59.7,67.0,1006.8,96.85,200392
5186,1.5,0.002978482493349929,1.230424136949834,25.3,1.0,0.0023986971365032583,0.5,0.004797394273006517,0.0023986971365032583,42.55,0.0,0.0,260.0,35.2,43.2,1009.4,74.31,15460
7650,2.75,0.00786861467146036,3.250559114495004,32.2,0.75,0.004717838563889941,2.0,0.001769189461458728,0.003538378922917456,41.4,4.06,1.0,240.0,55.2,61.3,1005.8,86.48,28541
5153,0.75,0.0011917167705747483,0.4923034069184327,31.05,0.5,0.004766867082298993,0.25,0.009533734164597987,0.0023834335411494966,51.75,0.0,0.0,260.0,52.0,61.0,1004.0,79.95,5153
67114,41.75,0.48568552275732685,200.63881238247174,24.15,2.5,0.012416981073604293,39.25,0.0007908905142423117,0.031042452684010735,40.25,20.57,1.0,350.0,79.0,100.0,1012.4,100.0,605414
5672,2.0,0.004466683040341682,1.8452062878367186,19.55,0.75,0.0034979843574357837,1.25,0.00209879061446147,0.002623488268076838,32.2,0.0,0.0,210.0,70.7,99.0,1010.6,47.53,11295
6021,1.25,0.002608918472511884,1.0777556245773026,27.6,0.5,0.00556982470454536,0.75,0.0037132164696969065,0.00278491235227268,44.85,0.0,0.0,210.0,66.7,99.0,1008.3,43.67,6021
5166,0.75,0.001194723236326247,0.4935453910616386,19.55,0.5,0.004778892945304988,0.25,0.009557785890609976,0.002389446472652494,35.65,0.0,0.0,200.0,67.8,99.0,1007.2,47.7,5166
5539,0.75,0.0012809856767346266,0.5291807822474672,16.1,0.5,0.005123942706938506,0.25,0.010247885413877013,0.002561971353469253,28.75,0.0,0.0,220.0,67.0,93.0,1008.9,51.85,5539
31686,14.0,0.1011208566854779,41.77346789603549,21.85,2.25,0.00651370077278504,11.75,0.001247304403299263,0.01465582673876634,40.25,29.97,1.0,330.0,77.2,95.0,1012.9,100.0,226283
5687,1.25,0.0025032296380168985,1.0340951050815286,12.65,0.5,0.005260852531929823,0.75,0.0035072350212865485,0.0026304262659649115,31.05,25.15,1.0,230.0,69.0,71.6,1014.5,100.0,5687
8366,1.75,0.005256805366495114,2.1716092743953883,14.95,0.5,0.007739105377549656,1.25,0.0030956421510198624,0.003869552688774828,54.05,8.64,1.0,300.0,78.0,88.0,1008.3,99.34,8366
22093,2.25,0.016396223508989564,6.773351599456547,12.65,0.5,0.02043749164549421,1.75,0.00583928332728406,0.010218745822747104,17.25,0.0,0.0,360.0,58.0,72.0,1023.3,70.49,22093
25999,6.5,0.041873823720274726,17.298259609328973,29.9,1.25,0.009620320378241145,5.25,0.0022905524710097962,0.01202540047280143,42.55,8.89,1.0,350.0,75.2,85.0,1011.6,100.0,83251
22803,12.0,0.07194865696549549,29.722304680025786,36.8,4.75,0.0022204514504103683,7.25,0.0014547785364757585,0.010547144389449249,51.75,2.03,1.0,240.0,58.0,66.0,1008.8,94.29,177834
5241,1.0,0.0018050357838804406,0.7456681721324215,11.5,0.5,0.004848272924185722,0.5,0.004848272924185722,0.002424136462092861,24.15,0.0,0.0,220.0,39.0,47.0,1009.8,85.66,5241
